Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
14315,I am a developer by profession,Yes,25.0,19,Monthly,36000.0,13512.0,Ethiopia,Ethiopian birr,ETB,Elasticsearch;Firebase;MySQL,Firebase;MongoDB;PostgreSQL;SQLite,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,Industry that I’d be working in;Financial performance or funding status of the company or organization;Opportunities for professional development,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;Go;Kotlin;TypeScript,C#;HTML/CSS;Java;JavaScript;Kotlin;TypeScript,Flutter,.NET Core;Node.js,,Github;Gitlab;Slack;Trello,No,Somewhat important,Somewhat important,Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,Not sure,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,Start a free trial,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,10 to 19 employees,,Android;Docker;Google Cloud Platform;Heroku;Linux;MacOS,I have some influence,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Ruby on Rails;Vue.js,Angular.js;ASP.NET Core;Express;React.js,Just as welcome now as I felt last year,40.0,6,2
15042,I am a developer by profession,Yes,24.0,18,Monthly,10000.0,3756.0,Ethiopia,Ethiopian birr,ETB,DynamoDB;Firebase;MariaDB;PostgreSQL;Redis;SQLite,Firebase;MariaDB;MongoDB;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,Financial performance or funding status of the company or organization;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;Dart;Java;JavaScript;Kotlin;Scala;SQL,Java;JavaScript;Kotlin;PHP;SQL,.NET;.NET Core;Flutter;React Native,React Native,Jira;Github;Gitlab;Slack;Trello,Jira;Github;Slack;Trello,Yes,Somewhat important,Very important,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance,"Read company media, such as employee blogs or company culture videos",Every few months,Yes,No,Yes,Often: 1-2 days per week or more,Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,2 to 9 employees,Android;AWS;Google Cloud Platform;Heroku;Microsoft Azure;Windows;WordPress,Android,I have some influence,,Yes,"Yes, somewhat",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET;ASP.NET Core;React.js;Spring,Express,Just as welcome now as I felt last year,40.0,7,3
16019,I am a student who is learning to code,Yes,22.0,20,,,,Ethiopia,,,Firebase;Microsoft SQL Server;Oracle,MySQL;SQLite,,Some college/university study without earning a degree,Student,Black or of African descent,Man,Industry that I’d be working in;Diversity of the company or organization;Office environment or company culture,,I am actively looking for a job,HTML/CSS;Java;PHP;Python;SQL,Assembly;C;Java;SQL,Unity 3D,,"Github;Google Suite (Docs, Meet, etc)",,,,,,,Every few months,,,No,,Start a free trial,Amused,Stack Overflow Jobs (for job seekers),Call a coworker or friend;Watch help / tutorial videos,Linux-based,,Android;Google Cloud Platform;Linux,,,Bisexual,,,,,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Spring,,,,2,
16244,I am a student who is learning to code,Yes,22.0,19,,,,Ethiopia,,,,,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Scientist","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Not employed, but looking for work",Black or of African descent,Woman;Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",,"I’m not actively looking, but I am open to new opportunities",C#;JavaScript;Kotlin;Python;Swift,C#;HTML/CSS;JavaScript;PHP;Python,Pandas;Torch/PyTorch;Unity 3D;Unreal Engine;Xamarin,.NET;.NET Core;Pandas,,,,,,,,Once every few years,Yes,,Yes,,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Meditate;Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Windows,,Android;iOS;Linux;MacOS;Windows,Windows,,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Less than once per month or monthly,Easy,Appropriate in length,No,,,,,,4,
16291,I am a developer by profession,No,23.0,18,Monthly,3000.0,1128.0,Ethiopia,Ethiopian birr,ETB,MySQL;SQLite,DynamoDB;MySQL;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Black or of African descent,Man,Remote work options;How widely used or impactful my work output would be;Opportunities for professional development,Very dissatisfied,I am not interested in new job opportunities,Go;HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;PHP;TypeScript,Node.js;TensorFlow,Node.js,Github;Trello,Github;Slack;Trello,,,Fairly important,Better compensation,,Every few months,No,,No,Sometimes: 1-2 days per month but less than weekly,Ask developers I know/work with;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity;Panic,Windows,"Just me - I am a freelancer, sole proprietor, etc.",Android;AWS;Docker;Heroku;Windows,Android;Heroku;Windows;WordPress,,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Neither easy nor difficult,Appropriate in length,No,"Information systems, information technology, or system administration",Angular;Laravel,Angular;Laravel,Somewhat more welcome now than last year,30.0,5,2
18005,I am a developer by profession,Yes,37.0,20,Yearly,691200.0,21614.0,Ethiopia,Ethiopian birr,ETB,Elasticsearch;Firebase;MongoDB;Redis,MongoDB;MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",Very dissatisfied,I am actively looking for a job,HTML/CSS;JavaScript;Python;Ruby,HTML/CSS;JavaScript;PHP,Ansible;Flutter;Node.js;React Native;TensorFlow,Node.js,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Critically important,Better compensation;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Yes,Yes,Yes,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd;Research companies that have emailed me,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,MacOS,20 to 99 employees,AWS;Docker;Google Cloud Platform;Heroku;iOS;Kubernetes;Linux;MacOS,Docker;Heroku;Linux;MacOS,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Drupal;Express;Gatsby;React.js;Ruby on Rails;Vue.js,Angular;Drupal;Express;Gatsby;React.js,Just as welcome now as I felt last year,40.0,18,14
18597,I am a student who is learning to code,No,22.0,19,,,,Ethiopia,,,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Firebase;MySQL,"Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;Marketing or sales professional","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed part-time,Black or of African descent;Middle Eastern,Man,Industry that I’d be working in;Remote work options;Office environment or company culture,,I am actively looking for a job,Dart;Java;JavaScript;Kotlin;Python;SQL;TypeScript,C++;HTML/CSS;Java;JavaScript,Flutter;Hadoop;Keras;Node.js;TensorFlow,Flutter,"Github;Gitlab;Facebook Workplace;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",,,,,,Every few months,No,,Yes,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,,Android;AWS;Docker;Google Cloud Platform;Heroku;Linux;Microsoft Azure;Windows;WordPress,Android;Google Cloud Platform;Windows;WordPress,,,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,A few times per month or weekly,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",Flask;Laravel;Vue.js,Laravel;Vue.js,Somewhat more welcome now than last year,,4,
20845,I am a developer by profession,Yes,,16,Monthly,,,Ethiopia,Ethiopian birr,ETB,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Black or of African descent,,Remote work options;Office environment or company culture;Opportunities for professional development,Neither satisfied nor dissatisfied,I am actively looking for a job,C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL,C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Apache Spark;Hadoop;Keras;Node.js;Pandas;React Native;TensorFlow;Torch/PyTorch,,"Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",No,Extremely important,Fairly important,Trouble with leadership at my company;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,No,No,Sometimes: 1-2 days per month but less than weekly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Meditate;Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,20 to 99 employees,Android;Docker;Linux;Windows;WordPress,Android;Heroku;IBM Cloud or Watson;Kubernetes;Linux;Windows;WordPress,I have little or no influence,,Yes,"Yes, somewhat",A few times per week,Multiple times per day,Neither easy nor difficult,Appropriate in length,,"Computer science, computer engineering, or software engineering",Angular;jQuery;React.js;Spring;Vue.js,jQuery;Spring,Somewhat more welcome now than last year,40.0,14,10
22551,I am a developer by profession,Yes,,15,Monthly,244.0,2928.0,Ethiopia,United States dollar,USD,Couchbase;Elasticsearch;MySQL;Oracle;PostgreSQL,MySQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Black or of African descent,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",Very satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;Swift,HTML/CSS;Java;Python;SQL;Swift,Apache Spark;Flutter;TensorFlow;Torch/PyTorch,,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Neutral,Somewhat important,Curious about other opportunities;Better compensation;Trouble with my teammates;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,Not sure,Onboarding? What onboarding?,Yes,Often: 1-2 days per week or more,Ask developers I know/work with,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,Linux-based,"Just me - I am a freelancer, sole proprietor, etc.",Android;Arduino;AWS;Docker;Google Cloud Platform;Heroku;iOS;Kubernetes;Linux;Microsoft Azure;Raspberry Pi;Slack Apps and Integrations;Windows,Android;Linux;Raspberry Pi;Windows,,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Django;Flask;jQuery;Spring;Vue.js,Django;jQuery,Somewhat more welcome now than last year,70.0,9,2
23481,I am a developer by profession,Yes,21.0,14,,,,Ethiopia,,,Firebase;MySQL;PostgreSQL;Redis,Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,Black or of African descent,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",,"I’m not actively looking, but I am open to new opportunities",C++;Dart;Go;Java;JavaScript;SQL;TypeScript,C;C++;Dart;Java;JavaScript;Kotlin;PHP;SQL;TypeScript,Flutter;Node.js,Flutter;Node.js;React Native,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)","Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",,,,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,Not sure,,Yes,,Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later;Visit another developer community (please name):,Windows,,Android;Heroku;Linux;Windows,Android;Heroku;Linux;Windows,,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Express;Gatsby;React.js,Express;jQuery;React.js;Vue.js,Just as welcome now as I felt last year,,7,
27309,I am a student who is learning to code,Yes,27.0,21,,,,Ethiopia,,,Firebase;Microsoft SQL Server;SQLite,,Academic researcher;Educator,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Black or of African descent,Man,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Opportunities for professional development",,I am actively looking for a job,Bash/Shell/PowerShell;C++;Go;Java;JavaScript,,.NET;.NET Core;Cordova;React Native;Torch/PyTorch,,"Confluence;Github;Gitlab;Facebook Workplace;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",,,,,,,Once every few years,,,No,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Amused,Stack Overflow Jobs (for job seekers);Stack Overflow Talent (for hiring companies/recruiters);Stack Overflow Advertising (for technology companies),Play games;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Linux-based,,Android;Google Cloud Platform;Microsoft Azure;Windows,Android;Windows,,Bisexual,,,,,Easy,Appropriate in length,No,"A social science (such as anthropology, psychology, political science, etc.)",Angular;ASP.NET Core;Express;Spring,,,,3,
29597,"I used to be a developer by profession, but no longer am",No,18.0,14,,,,Ethiopia,,,,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,Black or of African descent,Man,,,,,,,,,,,,,,,Every few months,Not sure,,No,,,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations);Stack Overflow Advertising (for technology companies),Visit Stack Overflow,,,,,,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Less than once per month or monthly,Neither easy nor difficult,Appropriate in length,No,,,,Not applicable - I did not use Stack Overflow last year,,4,
30903,I am a developer by profession,Yes,30.0,18,Monthly,20000.0,7500.0,Ethiopia,Ethiopian birr,ETB,Firebase;MongoDB;PostgreSQL,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,"Data or business analyst;Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,Financial performance or funding status of the company or organization;How widely used or impactful my work output would be;Opportunities for professional development,Very dissatisfied,I am actively looking for a job,C#;JavaScript;Python;TypeScript,C#;HTML/CSS;JavaScript;SQL,.NET Core;Node.js;React Native;TensorFlow,.NET;.NET Core;Node.js,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Very important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,No,No,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Windows,20 to 99 employees,Docker;Google Cloud Platform;Heroku;Linux;Slack Apps and Integrations,Docker;Linux;Microsoft Azure;Slack Apps and Integrations;Windows;WordPress,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET Core;Flask;Gatsby;React.js;Vue.js,Angular.js;ASP.NET,Just as welcome now as I felt last year,40.0,8,5
31276,I am a student who is learning to code,Yes,21.0,18,,,,Ethiopia,,,Firebase;MongoDB,MySQL,"Developer, front-end",Some college/university study without earning a degree,"Not employed, but looking for work",Black or of African descent,Man,"Languages, frameworks, and other technologies I’d be working with",,"I’m not actively looking, but I am open to new opportunities",C#;Dart;Python,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;SQL,.NET;Flutter;Node.js;React Native;TensorFlow,,,,,,,,,Every few months,,,No,,Start a free trial,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Watch help / tutorial videos,Windows,,Android;Heroku;iOS;MacOS,Linux;Windows,,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per month or weekly,Easy,Too long,No,"Computer science, computer engineering, or software engineering",ASP.NET;Express;Laravel;Spring;Vue.js,React.js,Just as welcome now as I felt last year,,3,
32410,I am a developer by profession,Yes,,15,,,,Ethiopia,Ethiopian birr,ETB,Firebase;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Firebase;MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed part-time,Black or of African descent,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Neither satisfied nor dissatisfied,I am actively looking for a job,Bash/Shell/PowerShell;C#;Dart;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell/PowerShell;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Flutter;Node.js;TensorFlow;Unity 3D,Flutter;Node.js;Unity 3D,Github;Gitlab,Github,,,Fairly important,Having a bad day (or week or month) at work;Better compensation;Growth or leadership opportunities,"Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,,Yes,,Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow,MacOS,"Just me - I am a freelancer, sole proprietor, etc.",Android;Docker;Heroku;iOS;Linux;MacOS,Android;Docker;Heroku;iOS;Linux;MacOS,I have some influence,,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,,"Computer science, computer engineering, or software engineering",Angular.js;Django;jQuery;Laravel;React.js;Vue.js,jQuery;Laravel;Vue.js,,,7,Less than 1 year
38886,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,,,,,,Ethiopia,,,,,,,Employed full-time,,,,,,,,,,,,,,,,,,,,Yes,,,,Stack Overflow (public Q&A for anyone who codes),,,,,,,,Yes,"Yes, definitely",A few times per month or weekly,Daily or almost daily,,,,,,,,,,
39165,I am a student who is learning to code,Yes,,,,,,Ethiopia,,,DynamoDB,Cassandra;MySQL;Oracle;PostgreSQL;SQLite,,,Employed full-time,,,,,,Scala,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;VBA,,,,,,,,,,Every few months,,,,,,,,,,,,Android;AWS;Linux;Microsoft Azure;Windows,,,,,,,,,,,,,,,,
42087,I code primarily as a hobby,Yes,,,,,,Ethiopia,,,,,,,"Not employed, but looking for work",,,,,,,,,,,,,,,,,,No,,No,,,,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),,,,,,,,Yes,Not sure,A few times per month or weekly,Multiple times per day,,,,,,,Somewhat more welcome now than last year,,,
42153,I am a developer by profession,Yes,,,,,,Ethiopia,,,MySQL;PostgreSQL,MySQL;PostgreSQL,,,Employed full-time,,,,,,C++;HTML/CSS;JavaScript;PHP;SQL,C++;HTML/CSS;JavaScript;PHP;SQL,,,,,,,,,,Every few months,,,Yes,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Advertising (for technology companies),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,,Linux;Windows,Linux;Windows,,,,,,I have never visited Stack Overflow (before today),,,,,jQuery;Laravel,jQuery;Laravel,A lot more welcome now than last year,,,
42413,I code primarily as a hobby,Yes,,,,,,Ethiopia,,,,,,,Student,,,,,,,,,,,,,,,,,Every few months,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42426,I code primarily as a hobby,Yes,,,,,,Ethiopia,,,,,,,Student,,,,,,,,,,,,,,,,,Every few months,Yes,,No,,,,Stack Overflow (public Q&A for anyone who codes),,,,,,,,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,Daily or almost daily,,,,,,,Somewhat more welcome now than last year,,,
42841,I am a developer by profession,Yes,,,,,,Ethiopia,,,,,,Primary/elementary school,Employed full-time,,,,,,,,,,,,,,Very important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43983,I am a student who is learning to code,Yes,,12,,,,Ethiopia,,,,MySQL;SQLite,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,,,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Office environment or company culture",,"I’m not actively looking, but I am open to new opportunities",,C++;HTML/CSS;Java;JavaScript;PHP;Python,,,,Github,,,,,,Every few months,Not sure,,No,,,Indifferent,Stack Overflow (public Q&A for anyone who codes),,Windows,,,Android,,,No,"No, not really",,Daily or almost daily,,,,,,React.js;Vue.js,Just as welcome now as I felt last year,,6,
45536,I am a student who is learning to code,Yes,20.0,12,,,,Ethiopia,,,MongoDB,MySQL,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Not employed, and not looking for work",Black or of African descent,Man,,,,Go;Python,Python,Node.js,Unity 3D,Github;Gitlab;Trello,,,,,,,Once a year,Not sure,,Yes,,Read ratings or reviews on third party sites like G2Crowd,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos,Linux-based,,Docker;Linux,Linux,,Straight / Heterosexual,Not sure/can't remember,Neutral,,A few times per week,Easy,Appropriate in length,No,,Django;Laravel;Vue.js,Django,Somewhat more welcome now than last year,,5,
47064,I am a developer by profession,Yes,23.0,22,,,,Ethiopia,,,PostgreSQL;Redis,MongoDB;MySQL;PostgreSQL;Redis,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Black or of African descent,Man,Industry that I’d be working in;How widely used or impactful my work output would be;Office environment or company culture,,I am actively looking for a job,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Kotlin;Python;SQL,Bash/Shell/PowerShell;HTML/CSS;JavaScript;SQL,Node.js;React Native;TensorFlow,Node.js;React Native,"Github;Slack;Google Suite (Docs, Meet, etc)","Github;Slack;Trello;Google Suite (Docs, Meet, etc)",,,Fairly important,Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,,Every few months,,,No,,Ask developers I know/work with,Amused,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,MacOS,,Google Cloud Platform;iOS;MacOS,Google Cloud Platform;Heroku;iOS;MacOS,,Straight / Heterosexual,Yes,"No, not really",A few times per week,Daily or almost daily,Neither easy nor difficult,Too long,No,"A humanities discipline (such as literature, history, philosophy, etc.)",Express;React.js,Angular;Express;React.js,,,Less than 1 year,
